26870816_1	newly generated mir-23a destabilizes keap1 mrna by binding to its 3'utr.
23868013_2	although renal expression of mir-433 and fibrotic markers increased in ligated kidneys at 7 days after uuo, azin1 expression was greatly reduced at both rna and protein levels , suggesting that azin1 expression was negatively correlated with mir-433 expression and occurrence of renal fibrosis.
21533284_1	let-7 target genes, including hmga2 are specifically deregulated in the c5 molecular subtype of high-grade serous cancers.
21533284_3	we observed highly specific deregulation of individual members of the mycn-lin28b-let7 pathway in c5 tumours, as well as a broader set of mycn and let7 transcriptional targets.
21533284_4	lin28 and lin28b negatively regulate let-7 levels by binding to the terminal loops of the precursors of let-7 family mirna, thereby blocking processing into mature mirnas , , , .
24099915_1	mechanistically, we showed that mir-31 confers ddp-induced apoptosis and that inhibition of abcb9 is required for ddp resistance.
24099915_2	the data demonstrate that mir-31 exerts an anti-apoptotic effect most likely through the inhibition of abcb9 and thus provide a novel strategy involving the use of mir-31 as a potential target in nsclc chemotherapy
18449891_1	taken together, our findings suggest that mir-15b and mir-16 could play a role in the development of mdr in gastric cancer cells at least in part by modulation of apoptosis via targeting bcl2.
18978044_2	mentioned above, the sequences upstream of ompx, nade, and luxs that are capable of pairing with cyar overlap the ribosome binding sites of these genes, while the predicted pairing region of yqae is immediately downstream of its start codon.
25341039_1	taken together, our results suggest ctgf activates pi3k, akt, erk, and nf-kappab elk1 pathway, leading to the upregulation of mir-210, contributing to inhibit gpd1l expression and prolyl hydroxylases 2 activity, promoting hif-1alpha-dependent vegf expression and angiogenesis in human synovial fibroblasts.
25341039_2	therefore, mir-210 directly represses gpd1l expression through binding to 3'utr of human gpd1l gene.
25341039_3	we also indicated that mir-210 directly repressed gpd1l protein expression through binding to 3'utr of human gpd1l gene, thereby negatively regulating gpd1l that is documented as promoting phd activity and later impeding hif-1alpha expression.
19014482_1	mir-146a expression was found to be directly stimulated by tax via nf-kb-mediated transactivation of its promoter; a single nf-kb site proximal to the transcription start point was necessary and sufficient for this to happen.
23886157_1	in comparison to the controls, a significant increase in the expression of mir-451 was associated with significantly decreased expression of cab39, lkb1, ampk, akt, pi3k and bcl2.
9770507_1	dsra enhances the translation of the stationary phase and major stress response sigma factor rpos. dsra base pairing to the inhibitory strand of the rpos translational operator prevents rpos intrastrand base pairing, freeing the shine cdalgarno sequence and enabling translation.
21403094_1	suggesting that sox6 and rod1 were target genes of mir-499.
26252024_1	in the present study, we found that mir-144 decreased the expression of pten and increased the expression of pakt in the mda-mb-231 and skbr3 cells.
25696812_3	4a, the overexpression of mir-9 inhibited the 3'utr luciferase reporter activities of kpnb1 and dyrk1b by 37% and 67%, respectively, but had no effects on activities of dyrk2 and csnk1a1, indicating that kpnb1 and dyrk1b might be the targets of mir-9.
26388699_1	further, tumor protein 53-induced nuclear protein 1 was an important target of mir-125b involved in metastasis of nsclc cells.
26388699_2	further, tumor protein 53-induced nuclear protein 1 was identified as a critical target of mir-125b involved in nsclc metastasis.
26388699_3	these results suggested that tp53inp1 was a bona fide target of mir-125 in regulating the metastasis of human nsclc.
26154388_2	these 50 mrnas have highly coordinated biological interactions, centered around the apoptotic regulator and mir25 target, tumor protein 53 or tp53 .
26154388_3	inverse relationships between mirna and the 50 target mrnas were observed for protein arginine methyltransferase 5 and tp53 and ras-related c3 botulinum toxin substrate 1 , where the targets for each were downregulated, and the mirnas themselves upregulated in ar. the opposite was also found for caudal type homeobox 2, ataxia telangiectasia mutated, and homeodomain interacting protein kinase 2 ; mitotic arrest deficient-like 1, histamine receptor h1, lamin b2, and denticleless e3 ubiquitin protein ligase homolog ; tgf r1, tgf r2, sam pointed domain containing ets transcription factor, and snail family zinc finger 1 ; nuclear receptor corepressor 2 and activin a receptor, type iib .
20827281_1	the ednra and eya4 transcripts harbor two predicted targetsites for mir-27b and one site each for mirs-203 and -224.
20827281_2	gdap1 contains two sites for mir-203 and single sites for mirs-26a and -200a .
20827281_3	as shown in figure 2a, both mir-27b and mir-224 mediated significant repression of the ednra reporter, whereas mir-203 had only a mild effect.
20827281_4	the eya4 3'utr was targeted by all three tested mirnas , and gdap1 was repressed by both mirs-26a and -200a, but not by mir-203 .
26703568_1	through a series of screening strategies and experimental validations, it was identified that hsa-mir-218 targets and represses the expression of alas2 by binding to the3 1 -untranslated region .
26703568_2	taken together, our results show that mir-218 inhibits erythroid differentiation and alters iron metabolism by targeting alas2 in k562 cells.
26703568_3	through a series of screening and functional studies, we found that mir-218 inhibited erythroid differentiation and altered iron metabolism by targeting alas2 in k562 cells.
26703568_4	these data revealed that alas2 expression is down-regulated by mir-218 binding.
26148972_1	finally, gad2 showed a significant increase in expression after transfection with mir-370 or -495 inhibitors .
22232084_1	nevertheless, our datasuggest a direct binding by mir-293 to multiple, low affinity sites within the cds of p65.
22232084_2	figure 2. p65 is targeted by mir-290 cluster.
22232084_3	these data define p65 as a novel target gene of mir-290 cluster.
22232084_4	overexpression of mir-291b and of mir-293 or of both mirnas together resulted in a significant reduction of p65 protein levels, whereas mrna levels almost remained unaffected .
21953056_1	mir-25 repressed dr4 protein levels via direct targeting of the 3'utr of dr4.
21953056_3	these findings confirmed that dr4 is a targetprotein for regulation of the trail-induced death pathway by mir-25.
21953056_4	therefore, our data are consistent with the hypothesis that mir-25 repressed dr4 protein levels via direct targeting of the 3'utr of dr4. in conclusion, overexpression of mir-25 in cholangiocarcinoma was observed to negatively regulate apoptosis signaling and dr4 protein levels.
18299402_3	we also observed repression of cebpb, pu.1, cutl1, and picalm protein levels in raw 264.7 cells expressing mir-155 , albeit to somewhat varying degrees between experiments .next,
17968323_1	a bioinformatics search revealed a conserved target-site for mir-21 within the pdcd4-3'utr at 228-249 nt. in 10 colorectal cell lines, an inverse correlation of mir-21 and pdcd4-protein was observed.
17968323_2	transfection of colo206f-cells with mir-21 significantly suppressed a luciferase-reporter containing the pdcd4-3'utr, whereas transfection of rko with anti-mir-21 increased activity of this construct.
17968323_7	this is the first study to show that pdcd4 is negatively regulated by mir-21.
24921914_1	mir-224 promotes the chemoresistance of human lung adenocarcinoma cells to cisplatin via regulating g  s transition and apoptosis by targeting p21 .
26722251_1	in addition, the present study demonstrated that unlike mir-339-5p, prl-1 expression was not regulated by mir- 339- 3p. the present authors previous study indicated that mir-339-5p inhibits crc cell proliferation and migration by regulation of prl-1 expression and the erk1 2 signaling pathway.
26722251_2	the present authors previous study previous studies demonstrated that the suppressive effects of mir-339-5p on crc cells may be partially due to its regulation of prl-1 expression and activation of the erk1 2 signaling pathway.
26474386_1	in order to determine whether mir-375 regulates klf5 directly we constructed vectors containing either the wild type 3'utr or mutant 3'utr of klf5 fused directly downstream of a the firefly luciferase gene .4a. the luciferase activity in cells co-transfected with the wild type vector and the mir-375 mimic was significantly reduced compared with the negative control , while the luciferase activity of the mutant 3'utr was not significantly altered .4a. these results strongly suggest that mir-375 binds directly to the 3'utr of klf5.
26474386_2	our results demonstrate that the mir-375 mimic significantly down-regulated klf5 expression in both cal27 and wsuhn6, while treatments with the mir-375 inhibitor increased klf5 levels.
22110210_3	the loss of mir-206 may play an important role in the progress of lscc and mir-206 may function as a novel tumor suppressed mirna.
25695396_3	our study showed that stoml-2 was negatively regulated by mir-1207-5p.
22870278_1	here we report that mdm4 mrna is a target of hsa-mir-34a .
22870278_2	over expression of mir-34a inhibits expression of known target and mdm4.
22870278_3	the mdm4 open reading frame contains a functional mir-34a site.
22870278_4	thus, the mir-34a site in the coding region of mdm4 exon 11 is functional and responsive to mir-34a.
22797699_1	a significant repression of the luciferase activity was observed for all 3'utr reporters containing a perfect match target site, whereas there was no change in luciferase activity for the reporters harboring mutations in the mir-155 target site sequences, implying that mafb, shank2, and sh3pxd2a are indeed bona fide targets of mir-155 .
22797699_2	with the aim of understanding which of the aforementioned targets play a role in the pathogenesis of low-grade b-cell lymphomas, in the present study, we carried out gep in wm cells and found that 3 known mir-155 targets, smad5, socs1, and cebp-beta , as well as 3 novel mir-155 targets, mafb,shank2,and sh3pxd2a,were derepressed after anti-mir-155 treatment.
21703006_1	four target genes of mir-148a were identified to be up-regulated within its regulated pin, including pai-1 , itgb8 , vav2 and c .
20103675_1	we further validated the specific interaction between mir-222 and the putative binding site of ppp2r2a transcript in the presence of mir-222 inhibition.
20103675_4	we were able to further substantiate the negative regulatory role of mir-222 on ppp2r2a by assessing the protein level of ppp2r2a in hep3b and hkci-9.
20439489_1	on this basis, we first demonstrated that smarca5 is a direct target of mir-100, jarid1b of mir-137, and we also confirmed previously published data demonstrating that sirt1 is a direct target of mir-34a in a different context.
20439489_3	2a, we confirmed that overexpression of mir-34a induced a significant suppression of sirt1.
25738901_1	following ng treatment, the mrna and protein expression of pdcd4 in macrophages transfected with anti-mir-21 inhibitor was higher than in those transfected with negative control , which indicated that in macrophages, mir-21 inhibition promotes pdcd4 expression and that pdcd4 is the target gene of mir-21.
20444703_1	we demonstrate, using an mir-10b synthetic precursor, expression vector, andantisense oligonucleotide, that mir-10b represses tiam1 expression in breast carcinoma cells and that it interacts with the 3'utr of tiam1.
20444703_2	ectopic expression of this mir-10b in sum159pt cells resulted in a significant decrease in tiam1 expression .
20444703_3	importantly, co-transfection of mir-10b and tiam1 cdna lacking the 3'utr was able to rescue mir-10b-induced repression of cell motility , suggesting that tiam1 is a key factor responsible for decreased cell motility in cells expressing mir-10b.
26096363_1	both fluorescent quantitation and western blot analysis showed that mir-132 significantly inhibited the transcription and expression of yap , suggesting that mir-132 may be the mirna targeting yap gene
23818645_2	because bcl-6 is a negative regulator of t h 17 differentiation, we hypothesized that the mir-132 212 cluster participates in t h 17 differentiation by targeting bcl-6 .
23818645_3	this computational analysis demonstrated that mir-212, but not mir-132, potentially binds the bcl-6 3'utr .
23818645_4	the results of luciferase assays revealed that mir-212, but not mir-132, binds to the bcl-6 3'utr .
23936419_2	mir-34a was also up-regulated by genistein and may directly target hotair in both pc3 and du145 pca cells
12475232_2	tar rnas containing single nitroxide spin-labels in the 2'-position of u23, u25, u38, or u40 were incubated with compounds known to inhibit tar-tat complex formation.
25322930_1	therefore, mirna-135a-5p increased bcl-2 via ap-2alpha and consequently enhanced cell resistance to apoptosis.
26695142_2	the above results demonstrated that mir-137 downregulated egfr at both mrna and protein levels.
26695142_3	the above results indicated that mir-137 binds to the 3'utr region of egfr directly.
26695142_4	in addition, reporter assays demonstrated that mir-137 was bound to the egfr 3'utr directly, indicating that egfr is the direct target of mir-137.
21315047_1	theses results suggested that mir-196a regulates the expression of hoxa9 by targeting the complementary sites.
22350414_1	we identified casein kinase 1alpha as a direct target of mir-155 control which enhanced beta-catenin signaling and cyclin d1 expression, promoting tumor cell growth.
22350414_2	these results suggested that ck1alpha is a direct mir-155 target.
22350414_3	taken together, our data identified ck1alpha as a novel mir-155 target and suggested that mir-155 overexpression enhances the activation of -beta-catenin in these malignancies.
26468775_1	this result suggests the significant importance of simultaneous suppression of axin2, dkk3 and sfrp1 by mir-582-3p.
26468775_2	mir-582-3p simultaneously targets axin2, dkk3 and sfrp1
26575121_1	moreover, luciferase reporter gene assays showed that smad7 was a validated mir-21 target, cell transfection showed that mir-21 overexpression downregulated target smad7 expression.
26575121_2	taken together, our data exhibited that mir-21 was involved in renal injury of dn by directly down-regulating smad7, and that smad7 was a validated mir-21 target.
26090403_1	to study whether meg3 levels are associated with vegf expression, pearson correlation coefficient was calculated as a measure of the degree of linear dependence between vegf and meg3 in the oa group.
26090403_2	pearson's r '~0.53409 with p ' 0.0153, which indicates there is significant negative correlation between vegf and meg3 given a significance level of alpha ' 0.05.
21468029_1	figure 5 mir-214 downregulates tfap2c and itga3 target genes and modulates multiple surface proteins.
21468029_2	these data suggest that the mir-214-dependent regulation of met and itga3 is at least in part mediated by tfap2c.
22326282_1	we could confirm the already known regulation of the apoptosis inhibitor api5 by mir-224 and could further identify three novel mir-224 target genes .
22248719_1	mir-376b controls starvation and mtor inhibition-related autophagy by targeting atg4c and becn1.
21368870_2	to determine whether irf1 is a true target of mir-383, nt2 cells were transfected with mir-383 mimic control or mir-383 inhibitor control.
21368870_3	both irf1 protein and irf1 mrna expressions were significantly decreased in mir-383-transfected nt2 cells than in control cells, whereas knockdown of mir-383 increased irf1 protein expression.
21368870_4	to further validate the regulatory relationship between mir-383 and its targetirf1 in vivo, expressions of mir-383 and irf1 protein were identified in the normal human mouse testis and in human infertile testis.
21368870_5	taken together, these results demonstrate that mir-383 downregulates irf1 directly by decreasing mrna stability.
21368870_6	these observations corroborate the negative correlation between the expression of mir-383 and irf1 in ma patients.
23888996_3	these results provide a possible underlying molecular mechanism to explain the association between reduced mir335 with poor clinical outcome, and suggest that approaches to re-introduce mir335 expression or override mapk1 activity may offer promising therapeutic strategies in the treatment of all.
22388101_2	mir-409-3p may function as a novel tumor suppressor in gc and its anti-oncogenic activity may involve the direct targeting and inhibition of phf10
20054641_1	human mir-128a was shown to negatively target tgf-betari protein expression by binding to the 3'utr region of the gene. in addition, though mir-128a did decrease protein levels of tgf-betar1, the mrna levels of tgf-betar1 remained unchanged , as the binding site of mir-128a to the 3'utr of tgf-betar1 gene is an imperfect match.
20054641_2	these results further confirm the role of mir-128a in regulating tgf-betar1 expression, a process which is mediated by a target binding sequence within the 3'utr of tgf-betar1.
20054641_3	human mir-128a post-transcriptionally targeted tgf-betar1.
20054641_4	as a functional consequence of this antagonism, the question was asked whether inhibiting mir-128a would then sensitize the t+let r cells to the growth inhibitory effect of tgf-beta1.
25429623_1	analysis of transcript levels by rt-qpcr revealed that mir-23a levels decreased in heat-stressed cells and that this was correlated with an increased abundance of noxa mrna, which contains a mir-23a binding site in its 3' untranslated region.
22689670_1	mir-125b controls apoptosis by down-regulating genes involved in the p53 pathway including bak1 and tp53inp1.
22689670_2	as shown in figure 4d, bak1 and tp53inp1 were down-regulated by mir-125b over-expression in all three cell lines.
22689670_3	we demonstrated that abtb1, an anti-proliferative factor, is a new direct target of mir-125b, and showed that in these lines mir-125b also down-regulates a series of targets previously identified in other cell types or species, including cbfb, a transcription factor involved in hematopoiesis, as well as other genes upstream or downstream of p53 including bak1, tp53inp1, plk3, ppp1ca, prkra and ppp2ca.
26152689_2	methylation-associated mir-9 down-regulation is probably one of the key mechanisms for paclitaxel resistance in eoc cells, via targeting ccng1.
26152689_3	these data validate that mir-9 can directly bind to 3'utr of ccng1 and ccng1 is regulated by mir-9.
26361139_1	in this study, we showed that mir-378 can target tailless , a critical regulator of nsc, to regulate nsc proliferation and differentiation.
26361139_2	taken together, our data suggest that mir-378 is a novel mirna that regulates nsc proliferation and differentiation via targeting tlx. in this study, we demonstrated that mir-378 could target and regulate tlx expression and thus participated in regulating nsc proliferation and differentiation.
25712342_1	functional analyses in vitro and in vivo revealed that foxp3-induced mir-146a b negatively regulate nf-κb activation by inhibiting the expression of irak1 and traf6.
22419847_2	met proto-oncogene was identified as a target of mir-34b c in uveal melanoma cells.
26897284_1	we demonstrated that mir-497 targets the mek1 3'utr using three target scan algorithms targetscan, miranda and mirdb, and mir-497 suppressed mek1 expression in hela cells.
26896688_1	over-expression or down-regulation of mir-451a regulated expression of 14-3-3味 and eralpha
23342366_1	ebv-encoded bart mirnas target the 3'-utrs of viral genes, such as lmp1, balf5, and lmp2a genes, and negatively regulate expression of these viral genes.on the other hand, ebv mirnas repress cellular proteins, which include p53 up-regulated modulator of apoptosis , dicer1, and bim.
26078955_1	taken together, our data indicated that mcl-1 3'utr is the direct target of mir-26b and suggested that mir-26b could suppress the expression of mcl-1.
26078955_2	mcl-1 mrna 3'utr is the direct target of mir-26b.
26078955_4	predicted binding site of mir-26b in 3'utr of human mcl-1 mrna.
22932723_1	furthermore, it was shown that pdgf-b was a targetfor mir-29b as evidenced by the fact that binding of mir-29 to the 3'-untranslated region of pdgf-b mrna resulted in its translational repression in sh-sy5y cells.
22932723_2	mir-29b target pdgf-b 3'utr resulting in translational suppression.
22932723_3	taken together, these findings implicate that tat- and morphine-stimulated astrocytes release exosomes containing mir-29b, which can be taken up by neighboring neurons, resulting in downregulation of the expression of the targetgene - pdgf-b.
22932723_4	these results thus underpin the role of mir-29b in regulating pdgf-b protein expression via a posttranscriptional mechanism.
19096009_1	these results indicated the requirement for e2f1 and myc for the deacetylase-induced transcriptional induction of mir106b.
19096009_2	more importantly, there was a strict positive correlation between expression of e2f1 and up-regulation of mcm7-mir106b, indicating that e2f1 probably positively regulates mir106b expression in response to lbh589 in primary cll cells.
23784775_1	we also showthat ubash3b is a functional target of anti-invasive microrna200a that is down-regulated in tnbc.
23784775_2	we show that ubash3b acts as a crucial downstream target of invasive regulator mir200a, and that its oncogenic function requires phosphatase activity.
23784775_4	we have shown that ubash3b is a direct and functional target of mir200a, and thus up-regulation of ubash3b could be a result of mir200a down-regulation, as seen in tnbc.
21159887_1	interestingly, mir-203 repressed the protein levels of e-box-binding transcription factor zeb2, also known as smad-interacting protein 1 , a transcriptional repressor that regulates the expression of e-cadherin and emt .
21159887_2	also, mir-203 inhibited the expression of polycomb repressor, bmi1.
21159887_3	importantly, ectopic mir-203 repressed the expression of bone-specific transcriptional regulators, runx2 and dlx5, that are involved in homing of pca cells to bone. in addition, we found that smad4, a central mediator of tgf--beta intracellular signaling, is regulated by mir-203.
21159887_4	also, mir-203 repressed endogenous levels of transcription factor e2f1, which has been reported to be elevated in metastatic hormone-resistant pca . in agreement with the inhibitory effects of mir-203 on migration and invasion, we found decreased mmp10 expression in cells overexpressing mir-203.
21159887_5	we cloned the 3- - utrs of the targets that are potential mediators of the effects of mir-203 on pca progression and metastasis, namely, zeb2, runx2, dlx5, and smad4 into a luciferase construct.
21159887_7	it has been proposed that metastatic pca cells must be osteomimetic to metastasize, grow, and survive in the skeleton . in view of our present evidence suggesting the specific attenuation of mir-203 in bone metastatic pca cell lines and clinical specimens and the potential regulation of runx2 and dlx5, we asked if alteration of mir-203 levels affects the osteomimetic properties of pca cells.
25485975_1	ifg2 mrna translation in rat myoblasts is under positive control by mir-206, they are entirely consistent with this possibility and seem to constitute a provocative case.
22062548_1	to confirm the predicted targetsite in the eif5 3'utr, we mutated the binding site that was hypothesized to interact with the seed region of mir-5787 .
22062548_3	therefore, we showed that mir-5787 directly repressed the eif5 transcript.
22062548_4	this result indicates that mir-5787 post-transcriptionally regulates eif5 expression.
26850657_1	dual luciferase assays in dgcr8d dtbx21 cd4+t cells demonstrated that ccnk and aff4 are direct targets of mir-27, and cnot6 and clcn3 are direct targets of mir-24 in primary t cells .
26850657_2	the remaining three genes, ikzf1, gpr174, and galnt3, appear to be direct targets of both mir-24 and mir-27 .
22761427_1	thus, these results showed that two keratinization-associated mirnas, mir-7 and mir-21, could be important for regulating the expression of reck.
22761427_2	together, these data demonstrated that reck could be directly coregulated by mir-7 and mir-21 and that different endogenous levels of these mirnas in cells could contribute to the down-regulation of reck transcript.
21177782_1	mage-a2, mage-a3, mage-a6, and mage-a12 3'utrs are direct target for mir-34a.
21177782_4	to confirm that the increase in p53 and p21 transcripts in the presence of mir-34a was indeed mediated through the direct suppression of mage-a genes, we cloned the mage-a2, mage-a3, mage-a6, and mage-a12 full-length coding sequences bereft of the 3'utr, thus rendering these transcripts impervious to targeting by mir-34a.
25561284_1	to understand the mechanism of the mir-491-regulated hcc cell proliferation and cell survival, we tried to identify mir-491 target genes and found that egfr is a putative target of mir-491.
25561284_2	to validate egfr is a direct target of mir-491, we constructed luc-egfr-3'utr-wild-type and its 30 utr mutant plasmids.
25394756_1	the proliferation of gscs cell could be inhibited with high-expression of mir-21 and this effect could be restored by mir-21 knocked down.
25394756_2	mechanism analysis revealed that faslg was a specific and direct target gene of mir-21.
25394756_3	the advanced effects of anti-mir-21 on gscs apoptosis and proliferation were mediated by expression of silenced faslg.
22350415_1	notably, mir-130a inhibited autophagy by reducing autophagosome formation, an effect mediated by downregulation of the genes atg2b and dicer1, the latter of which is a major component of the mirna silencing machinery.
26482503_1	mir-125b regulates pct expression through targeting stat3
25299770_1	mir-491-5p-induced apoptosis in ovarian carcinoma depends on the direct inhibition of both bcl-xl and egfr leading to bim activation.
21289630_1	furthermore, we found that mir-141 directly targeted the 3'-untranslated region of yap1, which is known to have a crucial role in apoptosis induced by dna-damaging agents, and thus downregulated yap1 expression.
25239093_1	in silico database analysis result revealed that plk2 is a potential target of mir-27a.
25239093_3	mir-27a and knockdown of plk2 caused the increase of the cell viability and colony formation and inhibition of the late apoptosis in the hep2 cell lines.
20570349_1	transfection of precursor molecules of mir-196a and mir-196b induced erg downregulation and luciferase assays confirmed binding of mir-196a and mir-196b to the erg 3'utr.
20570349_2	moreover, analysis of the expression regulation of the specific isoforms revealed a downregulation of erg3 expression levels by mir-196a and mir-196b in kg1a .
20570349_3	the results show that erg expression is directly regulated by mir-196a and mir-196b.
20947512_3	consistent with the western blot results, both mir-9 and mir-30 led to a reduction of endogenous lin28 in es cells. in summary, during es cell differentiation and eb formation, the expression level of lin28 decreases, whereas its regulatory mirnas display an inversely correlated expression pattern.
18977327_4	growth factor-induced mir-296 contributes significantly to angiogenesis by directly targeting the hepatocyte growth factor-regulated tyrosine kinase substrate mrna, leading to decreased levels of hgs and thereby reducing hgs-mediated degradation of the growth factor receptors vegfr2 and pdgfrbeta.
21248104_1	in a superimposed image of adjacent sections of mir-9, detected by in situ hybridization, and foxp1, detected by immunohistochemistry, mir-9expression overlapped with most foxp1-expressing mns .
21248104_2	because mirnas usually silence target gene expression, the overlapping expressions of mir-9, foxp1, and isl1 2 in lmc mns lead us to examine whether mir-9 may negatively regulate foxp1 and or isl1 2 expressions .
21248104_3	because mirnas function by silencing target mrnas, the reduction in foxp1+ and isl1 2+ neurons suggests that mir-9 may directly or indirectly repress foxp1 and isl1 2 proteins .
21248104_4	bioinformatic approaches predicted foxp1 as a target of mir-9, which is consistent with the reduced foxp1 levels when mir-9 was overexpressed .
21248104_5	we first compared expression patterns of mir-9 with foxp1 mrna and protein in developing chick spinal cords.
21248104_6	at stages 11 and 17, mir-9 and foxp1 were detected in the vz.
21248104_7	expression of mir-9 overlapped with foxp1 mrna and protein in mns by stage 20 and was increased by stage 24 .
21248104_8	at stage 29, whereas foxp1 expression was maintained in lmc mns, mir-9 expression was greatly reduced .
21248104_9	these studies suggest that mir-9 expression coordinates with foxp1 in lmc mns during the critical time of mn columnar formation.
21248104_10	the overlapping expression of mir-9 and foxp1 and the repressing function of mir-9 on foxp1 suggest that mir-9 controls foxp1 levels in the lmc mns with a tuning regulation.
21248104_11	both mir-9-1 and mir-9-2, but not mir-9-mut and control mir-17, significantly decreased luciferase activities, which confirmed the direct targeting effect of mir-9 on foxp1 3'utr site 1 sequences .
22450659_1	in the present study, we report that mir-124 down-regulated sphk1 expression by directly targeting its 3'-untranslated region and that mir-124 expression was inversely correlated with sphk1 expression in gastric cancer samples.
22450659_2	mir-124 inhibits cell proliferation in gastric cancer through down-regulation of sphk1.
22450659_3	taken together, our results suggest that down-regulation of mir-124 in gastric cancer results in sphk1 over-expression.
22450659_4	taken together, our results suggest that sphk1 has an important role in the mir-124-mediated proliferation inhibition.
22450659_5	notably, re-expression of sphk1 in mir-124 over-expressed gastric cancer cells reversed the effects of mir-124, suggesting an antiproliferative role of mir-124 attributable largely to down-regulation of sphk1.
25606826_1	further investigation identified ras related protein rab5a as a direct target of mir-101.
26655604_1	mechanistically, phosphatidyl inositol 3-kinase interacting protein 1 , a negative regulator of pi3k, was identified as a novel target of mir-let-7 by a crosslinking technique showing that mir-let-7g specifically targets pik3ip1 to the cardiac myocyte argonaute complex risc.
26655604_2	mechanistically, we identify a novel target of mir-let-7g, pik3ip1, that acts as an inhibitor of akt survival signaling and whose levels increase with loss of mir-let-7 both in mouse models and in human myocardium.
26655604_3	the wild type 3'utr of pik3ip1 was also functionally targeted by mir-let-7g but not nt sequence .
20404348_1	in consensus, overexpression of mir-21 in a transgenic mouse heart resulted in suppression of ischemia-induced up-regulation of pten and fasl expression, an increase in phospho-akt, a smaller infarct size, and ameliorated heart failure.
20404348_2	pten is a validated mir-21 target .
20404348_3	this suggests that mir-21 directly targets and inhibits fasl.
20404348_5	this suggests that caakt suppresses fasl and pten during hypoxia through an mir-21-dependent mechanism.
21199010_2	mir-99a, mir-125b, mir-216a and mir-1296 were putative negative regulators of rasgrp3, gpr160, prkch and xaf1, respectively, which were found to be differentially expressed in lcls during long-term culture in a previous study.
21199010_3	linear regression analysis showed that mir-200a and mir-296-3p correlated with triglyceride and hba1c levels.
17622355_1	the up-regulation of mir-203 in psoriatic plaques was concurrent with the down-regulation of an evolutionary conserved target of mir-203, suppressor of cytokine signaling 3 , which is involved in inflammatory responses and keratinocyte functions.
17622355_2	next, we analyzed the expression pattern of mir-203 and socs-3 in lesional skin of psoriasis patients and in healthy skin . in situ hybridization using lna-modified nucleotide probes revealed that mir-203 is expressed in the suprabasal layers of the epidermis in normal skin, confirming its keratinocyte-specific expression observed in vitro . in comparison to healthy skin, the expression of mir-203 was increased in psoriatic lesional skin in all epidermal layers , consistent with the real-time pcr results.
17622355_3	analysis of socs-3 protein expression by immunohistochemistry showed a complementary pattern with the mir-203 expression .
17622355_4	thus, the up-regulation of mir-203 may have important implications for psoriasis pathogenesis by preventing the up-regulation of socs-3 in response to cytokines.
26452132_1	mechanistically, mir-7 targets raf-1 proto-oncogene serine threonine kinase and mechanistic target of rapamycin .
26452132_2	co-transfection with mir-7 suppressed luciferase activity of both the raf1 and egfr reporters when compared with that co-transfected with mir-nc, confirming the seed binding sequences of mir-7 on the 3'utr region of raf1 and egfr genes.
26452132_3	mir-7 achieves this by directly targeting the mapk and mtor signalling pathways , leading to inhibition of cdk1.
26452132_4	taken together, these results indicate mir-7 acts as a tumor suppressor in acc by affecting multiple molecular targets, involved in the mtor and mapk signalling pathways.
18327259_1	the mir-17-92 mirna suppressed expression of the tumor suppressor pten and the proapoptotic protein bim.
25785039_1	confirmed by dual-luciferase assay and western blot, we found that mir-19a suppressed adrb1 expression by directly targeting 3'utr. in conclusion, this study confirmed mir-19a suppressed adrb1 expression by directly targeting 3'utr of adrb1 and found an positive correlation between plasma mir-19a and bnp or camp levels in hf patients, which may contributes to fully understand the hf pathogenesis and develops new therapy for hf.
26022123_1	moreover, a change in mrna and protein expression levels of zeb1 and zeb2 in response to mir-139-5p over-expression or inhibition was verified by rt-pcr and western blotting in hep3b and smmc7721 cells , confirming that mir-139-5p negatively regulates zeb1 and zeb2 expression by directly targeting their 3'utr regions.
26022123_2	these results confirm that zeb1 and zeb2 are regulated by mir-139-5p and mir-139-5p down-regulation, and may participate in hcc carcinogenesis and progression through potentiation of zeb1 and zeb2 expression.
22265968_1	lkb1 messenger rna was identified as a target of mir-199a-3p, and its expression was reduced in human fibrotic liver tissue.
22265968_2	the pairing between lkb1 3'utr region and mir-199a-3p sequence was nearly perfect , which suggested that lkb1 mrna might be a target of mir-199a-3p.
22265968_3	to precisely define the inhibitory role of mir-199a-3p for lkb1, in vitro functional assays were performed by enhancing or silencing mir-199a-3p.
22265968_4	as expected, transfection with pre-mir-199a-3p significantly decreased the level of lkb1 protein .
22265968_5	figure 3 lkb1 mrna as a target of mir-199a-3p.
26506418_1	zfas1 is predicted to sponge mir-590-3p targeting cyclin-dependent kinase 1.
26036638_2	mir-101 sensitizes tnbc cells to paclitaxel-induced apoptosis by targeting mcl-1.
26537990_1	luciferase activity assay confirmed that wnt1 and wnt5a were both the target genes of mir-146a-5p.
26537990_2	in conclusion, mir-146a-5p suppresses activation and proliferation of hscs in the progress of nonalcoholic fibrosing steatohepatitis through targeting wnt1 and wnt5a and consequent effectors alpha-sma and col-1.
26537990_3	these results suggest that mir-146a-5p regulated wnt1 and wnt5a genes expression at the posttranscriptional level.
26655273_2	we further confirmed that igf-1r was a target of mir-122.
26655273_3	these data indicate that mir-122 negatively regulates igf-1r expression by interacting with its 3'utr. .
26655273_4	together, these data suggest that igf-1r is a functional target of mir-122.
